date,business_id,revenue_booked,cash_collected,receivables_outstanding,revenue_7d_avg,revenue_30d_avg,revenue_7d_std,revenue_30d_std,collections_7d_avg,collections_30d_avg,collection_ratio_30d,receivables_change_7d,receivables_change_30d,receivables_to_revenue_30d,day_of_week,month,is_weekend
2019-01-09,U001,2253569.22,358201.55,21139530.189999998,2138570.957142857,1964359.4872727273,714953.7681648771,739832.5137065471,66917.73857142856,42584.01545454545,0.021678320964391373,14501572.529999997,,0.9783216790356085,2,1,0
2019-01-10,U001,2778348.93,1017104.4600000001,22900774.66,2173755.93,2032191.9408333332,743053.8700273094,743510.4324738714,212218.37571428574,123794.0525,0.060916515813578244,13730762.879999999,,0.9390834841864218,3,1,0
2019-01-11,U001,1796778.1099999999,622291.92,24075260.849999998,2016908.5942857142,2014083.1846153846,678589.8368286955,714845.0890022168,301117.2214285714,162140.0423076923,0.08050315078652277,12010539.609999996,,0.9194968492134772,4,1,0
2019-01-12,U001,1269044.8,0.0,25344305.65,1983416.1014285716,1960866.157142857,713063.4243135263,715083.3992035843,301117.2214285714,150558.6107142857,0.07678168658571881,11776092.159999996,,0.9232183134142812,5,1,1
2019-01-13,U001,1062519.34,0.0,26406824.99,2011198.0914285716,1900976.3693333333,664498.9184460288,727063.5993613449,301117.2214285714,140521.37,0.07392062956010359,11970566.089999996,,0.9260793704398964,6,1,1
2019-01-14,U001,2339054.06,870769.07,27875109.979999997,1961451.8671428573,1928356.225,616770.6301824332,710897.0035265981,422394.44,186161.85125,0.0965391398313867,10773401.989999995,,0.9034608601686132,0,1,0
2019-01-15,U001,2605864.32,2151610.78,28329363.519999996,2015025.5399999998,1968209.6423529412,658918.039529615,707664.9299927781,717139.6828571428,301776.49411764706,0.15332538141459437,9085200.999999996,,0.8466746185854055,1,1,0
2019-01-16,U001,2849966.89,1298761.48,29880568.929999992,2100225.207142857,2017196.1561111112,729663.0483321749,717304.4345284818,851505.3871428572,357164.5488888889,0.17705989960711363,8741038.739999995,,0.8229401003928861,2,1,0
2019-01-17,U001,2442105.28,1639621.6199999999,30683052.589999996,2052190.4,2039559.7942105264,687426.0913536844,703877.4092361561,940436.41,424662.2894736842,0.20821271858718055,7782277.929999996,,0.7917872814128193,3,1,0
2019-01-18,U001,3278978.63,3021666.99,30940364.229999997,2263933.3314285716,2101530.736,812532.689266157,739036.799460455,1283204.2771428574,554512.5245,0.2638612488511327,6865103.379999999,,0.7361387511488673,4,1,0
2019-01-19,U001,2173007.06,48541.68,33064829.61,2393070.7971428568,2104934.3704761905,690770.7323787689,720492.8179305557,1290138.802857143,530418.6747619048,0.25198822452688174,7720523.960000001,,0.7480117754731183,5,1,1
2019-01-20,U001,1414586.68,0.0,34479416.29,2443366.131428571,2073554.93,581999.6951754754,718368.3636340294,1290138.802857143,506308.735,0.24417425729831038,8072591.300000001,,0.7558257427016896,6,1,1
2019-01-21,U001,2611483.66,0.0,37090899.95,2482284.645714286,2096943.1356521738,582969.6691643961,710758.2811870348,1165743.2214285715,484295.3117391304,0.23095300177918698,9215789.970000006,,0.7690469982208131,0,1,0
2019-01-22,U001,2898867.41,6250449.19,33739318.17,2524142.23,2130356.647083333,603479.7252962172,714148.589761789,1751291.565714286,724551.7233333333,0.3401081806303726,5409954.650000006,,0.6598918193696274,1,1,0
2019-01-23,U001,3525505.83,2434400.01,34830423.989999995,2620647.792857143,2186162.6144,709048.7474738971,752738.6770664122,1913525.6414285712,792945.6548,0.36271119521345707,4949855.060000002,,0.6372888047865428,2,1,0
2019-01-24,U001,3739850.8200000003,1864636.31,36705638.5,2806040.012857143,2245919.853076923,816154.2764880614,797994.3685548065,1945670.597142857,834164.5261538462,0.3714133097897665,6022585.910000004,,0.6285866902102335,3,1,0
2019-01-25,U001,3935845.11,2126129.67,38515353.94,2899878.0814285716,2308509.677407407,911756.2136092973,847393.073698425,1817736.6942857143,882015.0870370371,0.3820712105602226,7574989.710000001,,0.6179287894397774,4,1,0
2019-01-26,U001,2239828.86,619117.8300000001,40136064.97,2909424.052857143,2306056.7910714285,903187.1319807076,831653.8441139072,1899247.572857143,872625.8992857143,0.37840607510809793,7071235.359999999,,0.621593924891902,5,1,1
2019-01-27,U001,2157720.78,0.0,42293785.75,3015586.0671428577,2300941.7562068966,724121.1222862409,817132.2670497271,1899247.572857143,842535.3510344827,0.36616978624587293,7814369.460000001,,0.6338302137541271,6,1,1
2019-01-28,U001,2994680.7399999998,4416546.63,40871919.86,3070328.507142857,2324066.389,702646.1333808949,812848.8702532372,2530182.805714286,961669.0603333334,0.41378725878270656,3781019.9099999964,,0.5862127412172934,0,1,0
2019-01-29,U001,2557610.0,2873229.88,40556299.980000004,3021577.4485714287,2363276.065,727909.5905721234,793956.149789198,2047722.904285714,1057443.3896666667,0.4474481019493872,6816981.810000002,39174980.260000005,0.5720350178386798,1,1,0
2019-01-30,U001,3287524.92,2576571.55,41267253.35000001,2987580.175714285,2423991.080666667,705668.4507495037,792623.3283793286,2068033.1242857145,1143329.108,0.471672159653967,6436829.360000014,38419859.18000001,0.5674835698192192,2,1,0
2019-01-31,U001,2967105.25,2589679.17,41644679.43000001,2877187.951428571,2489498.780333333,624100.7894495032,751162.764580667,2171610.6757142856,1229651.747,0.49393546874337285,4939040.930000007,37795411.00000001,0.5576046037725442,3,1,0
2019-02-01,U001,2916197.76,3010952.39,41549924.80000001,2731524.044285714,2493749.0646666666,422147.63239305053,753271.8201161323,2298013.9214285715,1330016.8266666667,0.5333402809093171,3034570.8600000143,34911967.140000015,0.5553876743081457,4,2,0
2019-02-02,U001,1335833.12,6027.41,42879730.51000002,2602381.7957142857,2453875.0313333333,665669.6754060913,782276.4860036474,2210429.575714286,1330217.7403333334,0.5420886244604513,2743665.5400000215,33709718.73000002,0.5824764228342545,5,2,1
2019-02-03,U001,1848362.19,0.0,44728092.70000002,2558187.7114285715,2418996.789,708971.9115070783,785264.1674982759,2210429.575714286,1330217.7403333334,0.5499047152035443,2434306.950000018,32663371.460000016,0.6163449369230782,6,2,1
